panel,group,value,graphs,decisions,model_nll,empirical_nll,uniform_nll,model_minus_empirical
calibration,partition_lambda,465,226,678,3.537382809791417,3.8099867831972083,4.189418538473479,-0.2726039734057919
calibration,partition_lambda,466,401,1203,3.499543859155002,3.6377922119241166,4.098855798275191,-0.1382483527691149
calibration,partition_lambda,467,73,219,3.462564200571139,3.2939695397783115,4.136023021266273,0.16859466079282684
calibration,partition_lambda,468,341,1023,3.3883715176687215,3.5582291097398424,4.1029177086429085,-0.16985759207112097
calibration,partition_lambda,476,16,48,2.629956603050232,1.9607699346395007,4.169259481868334,0.669186668410731
calibration,partition_lambda,485,477,1431,3.6498156073708206,3.91964684408813,4.150967703870043,-0.26983123671730974
calibration,partition_lambda,486,559,1677,3.675744256876591,3.961244675644863,4.317428849008937,-0.28550041876827176
calibration,partition_lambda,487,261,783,3.7101409042475324,3.9696230301337514,4.317428849008937,-0.25948212588621933
calibration,partition_lambda,488,180,540,3.506918655059956,3.9032450825824188,4.317428849008938,-0.3963264275224634
calibration,partition_lambda,489,397,1191,3.728343779554295,3.9473121307189327,4.317428849008937,-0.21896835116463795
calibration,partition_lambda,491,409,1227,3.6084787037281263,3.8091892115165753,4.317428849008937,-0.2007105077884487
calibration,partition_lambda,492,110,330,3.1862959345181783,3.882148384229269,4.317428849008938,-0.6958524497110908
calibration,partition_lambda,507,15,45,4.139666604995727,4.082822765324193,4.18459868913076,0.056843839671535196
calibration,partition_lambda,508,244,732,3.6632187232945133,4.032109784193165,4.3174288490089365,-0.36889106089865065
calibration,partition_lambda,510,64,192,2.980990894138813,3.8189449746193165,4.317428849008937,-0.8379540804805036
calibration,partition_lambda,511,19,57,3.6117314748596727,3.8877837497808923,4.317428849008937,-0.2760522749212198
calibration,partition_lambda,512,115,345,3.5201264892799267,4.172060264035455,4.317428849008937,-0.6519337747555285
calibration,partition_lambda,529,52,156,3.3095383766369944,3.7710791740576406,4.088751780719391,-0.46154079742064696
calibration,partition_lambda,530,561,1683,3.7124006872862774,4.034101121514894,4.317428849008937,-0.32170043422861644
calibration,partition_lambda,532,16,48,3.5569019516309104,4.066425152569907,4.317428849008937,-0.5095232009389971
calibration,partition_lambda,533,54,162,3.529440572232376,3.5820106618220247,4.317428849008938,-0.05257008958964884
calibration,partition_lambda,551,15,45,4.117914793226454,4.034601797374032,4.21998151007365,0.08331299585242129
calibration,partition_lambda,553,22,66,2.9863022114291335,2.9675782845415726,4.317428849008937,0.018723926887561134
calibration,partition_lambda,573,34,102,3.1685903621654883,3.0534253255605037,4.168696324733285,0.11516503660498492
calibration,partition_lambda,575,40,120,3.6381752133369445,3.8682421319441413,4.317428849008937,-0.23006691860719725
calibration,partition_lambda,600,29,87,3.4667036135991416,3.746643827448166,4.317428849008937,-0.2799402138490247
calibration,partition_lambda,927,210,630,3.4927426490518783,3.7563892632308233,4.103450974265981,-0.2636466141789456
calibration,partition_lambda,928,770,2310,3.7076410434978864,3.8969408013713696,4.148019014161819,-0.18929975787348297
calibration,partition_lambda,929,21,63,3.620101945740836,4.148094816145917,4.21341413994655,-0.5279928704050796
calibration,partition_lambda,930,539,1617,3.480075277692201,4.016976552865999,4.15452972611602,-0.5369012751737977
calibration,partition_lambda,931,54,162,3.2726090325985426,3.5512637130953255,4.098995773999476,-0.27865468049678266
calibration,partition_lambda,932,362,1086,3.4886285418963565,3.8962036628672925,4.138749899101801,-0.40757512097093557
calibration,partition_lambda,934,32,96,3.30743474761645,3.440588971957672,4.13530966025781,-0.13315422434122173
calibration,partition_lambda,939,71,213,2.9896797658132277,3.166519020356038,4.13056726856936,-0.1768392545428105
